coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
234,Frank Kush,3,1982-1984,40,11,28,1,.288,-17,0,0,0,0,,4.3,4,0,0,0
235,Jim Laird,1,1926,13,5,7,1,.417,-2,0,0,0,0,,11.0,11,0,0,0
236,Curly Lambeau,33,1921-1953,380,226,132,22,.631,94,5,5,3,2,.600,3.2,1,6,0,0
237,Tom Landry,29,1960-1988,418,250,162,6,.607,88,18,36,20,16,.556,2.4,1,2,2,5
238,Dick LeBeau,3,2000-2002,45,12,33,0,.267,-21,0,0,0,0,,5.0,4,0,0,0
239,Wally Lemm,10,1961-1970,135,64,64,7,.500,0,3,3,1,2,.333,3.0,1,1,0,0
240,Jim Leonard,1,1945,10,2,8,0,.200,-6,0,0,0,0,,5.0,5,0,0,0
241,Marv Levy,17,1978-1997,255,143,112,0,.561,31,8,19,11,8,.579,2.7,1,0,0,4
242,Art Lewis,1,1938,8,4,4,0,.500,0,0,0,0,0,,4.0,4,0,0,0
243,Marvin Lewis,12,2003-2014,192,100,90,2,.526,10,6,6,0,6,.000,2.3,1,0,0,0
244,Scott Linehan,3,2006-2008,36,11,25,0,.306,-14,0,0,0,0,,3.3,2,0,0,0
245,Vince Lombardi,10,1959-1969,136,96,34,6,.738,62,6,10,9,1,.900,1.5,1,5,2,2
246,Leo Lyons,2,1923-1924,7,0,7,0,.000,-7,0,0,0,0,,17.5,16,0,0,0
247,John Mackovic,4,1983-1986,64,30,34,0,.469,-4,1,1,0,1,.000,4.0,2,0,0,0
248,Dick MacPherson,2,1991-1992,32,8,24,0,.250,-16,0,0,0,0,,4.5,4,0,0,0
249,John Madden,10,1969-1978,142,103,32,7,.759,71,8,16,9,7,.563,1.3,1,1,1,1
250,Lou Mahrt,1,1927,8,1,6,1,.143,-5,0,0,0,0,,10.0,10,0,0,0
251,Ray Malavasi,6,1966-1982,85,44,41,0,.518,3,3,6,3,3,.500,2.5,1,0,0,1
